trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-8.79551299911398,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-257.55778322635416,"{0: 19, 1: 5, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-162.81683450184215,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,17,-5.976647815476483,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-262.4209448788156,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 5}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-147.58828612338723,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-115.876232207956,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-115.14030776141337,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-156.06134941951126,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-132.7570722100489,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-194.27657460039043,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-71.17501789483278,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-170.94339296009903,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-231.82751025484666,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,10,-98.29728848312439,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-71.31035244230475,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-58.21040472350214,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-134.7730631598618,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",35,0,-257.8817913298676,"{0: 17, 1: 5, 2: 7, 3: 3, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-207.08700645658402,"{0: 10, 1: 1, 2: 11, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-81.31419793368407,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-84.47616092167259,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-124.48892297684962,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-143.6135378051551,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-113.82721941033904,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,17,-48.45876443589778,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-54.962578121544674,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-32.50822170008784,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-145.95494320454495,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-86.67461030161463,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-154.11807596950297,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-50.496813370341656,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-151.27568318919518,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",35,0,-256.9434499058938,"{0: 15, 1: 6, 2: 9, 3: 2, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,0,-165.86156231005535,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-177.0759228448204,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-81.70979923708006,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-80.79243231125454,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
