trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.88031615032733,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.47717795301955,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.36624785937443,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.36641974651731,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.142544380618876,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.85593285061464,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.68138146615651,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,5,-89.0378126221378,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.24093850097577,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.25650809421013,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.88212283052204,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.7633196956343,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.16326998126894,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.3461736870603,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.3699022657765,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.44986593899204,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.88149380958305,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.41956874134452,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.96980084297768,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.6568761465314,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.75577019931231,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.31560783934334,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.0327926185529,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.45285247363994,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,13,-17.379467338933072,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.56410969306941,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.75727624842176,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,0.30460468781674876,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.2767309558089,"{0: 12, 1: 3, 2: 12, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.6672877958304,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
